Date,AAPL,AMZN,GOOGL,IWM,META,MSFT,NVDA,QQQ,SPY,TSLA
2025-05-09,198.0452423095703,193.05999755859375,152.42897033691406,199.68984985351562,591.6351928710938,437.20733642578125,116.63532257080078,486.8581848144531,561.1209716796875,298.260009765625
2025-05-12,210.55104064941406,208.63999938964844,158.12696838378906,206.71047973632812,638.5073852539062,447.70074462890625,122.98452758789062,506.6929016113281,579.66455078125,318.3800048828125
2025-05-13,212.68861389160156,211.3699951171875,159.19471740722656,207.46624755859375,655.08349609375,447.5812072753906,129.9136505126953,514.415283203125,583.4925537109375,334.07000732421875
2025-05-14,212.08929443359375,210.25,165.02244567871094,205.62655639648438,658.4086303710938,451.36798095703125,135.32296752929688,517.4982299804688,584.23828125,347.67999267578125
2025-05-15,211.21029663085938,205.1699981689453,163.61541748046875,206.9690399169922,642.9509887695312,452.3863220214844,134.8130340576172,518.06689453125,587.0919189453125,342.82000732421875
2025-05-16,211.0205078125,205.58999633789062,165.84072875976562,208.679443359375,639.4161376953125,453.5244445800781,135.38296508789062,520.32177734375,590.8106079101562,349.9800109863281
2025-05-19,208.54331970214844,206.16000366210938,166.1899871826172,207.80435180664062,639.5059814453125,458.11688232421875,135.55294799804688,520.8206787109375,591.4568481445312,342.0899963378906
2025-05-20,206.62550354003906,204.07000732421875,163.6353759765625,207.91372680664062,636.1807861328125,457.4180603027344,134.36309814453125,519.0845947265625,589.46826171875,343.82000732421875
2025-05-21,201.86090087890625,201.1199951171875,168.20574951171875,202.0764923095703,634.5831298828125,451.8272399902344,131.78341674804688,511.8710021972656,579.5352783203125,334.6199951171875
2025-05-22,201.13172912597656,203.10000610351562,170.51089477539062,202.06651306152344,635.6515502929688,454.11346435546875,132.81329345703125,512.828857421875,579.7639770507812,341.0400085449219
2025-05-23,195.04864501953125,200.99000549316406,168.11593627929688,201.4300994873047,626.1552734375,449.441162109375,131.2734832763672,508.0796813964844,575.806640625,339.3399963378906
2025-05-27,199.98304748535156,206.02000427246094,172.53662109375,206.5414276123047,641.3932495117188,459.93389892578125,135.48294067382812,520.0324096679688,587.7780151367188,362.8900146484375
2025-05-28,200.1927947998047,204.72000122070312,171.9977569580078,204.36363220214844,642.6514282226562,456.609375,134.7930450439453,517.7276000976562,584.37744140625,356.8999938964844
2025-05-29,199.72332763671875,205.6999969482422,171.49880981445312,204.97023010253906,644.1193237304688,457.9272155761719,139.17250061035156,518.745361328125,586.6842651367188,358.42999267578125
2025-05-30,200.622314453125,205.00999450683594,171.3790740966797,203.9261016845703,646.5557861328125,459.60443115234375,135.11300659179688,517.92724609375,586.0280151367188,346.4599914550781
2025-06-02,201.47134399414062,206.64999389648438,168.6747589111328,204.56253051757812,669.9320678710938,461.2118225097656,137.3627166748047,522.0178833007812,589.3291015625,342.69000244140625
2025-06-03,203.03956604003906,205.7100067138672,165.83074951171875,207.864013671875,665.8878173828125,462.2101745605469,141.2022247314453,526.0985107421875,592.6898193359375,344.2699890136719
2025-06-04,202.590087890625,207.22999572753906,167.69680786132812,207.2772979736328,686.9573974609375,463.1086730957031,141.9021453857422,527.5652465820312,592.5307006835938,332.04998779296875
2025-06-05,200.40257263183594,207.91000366210938,167.8564910888672,207.36679077148438,683.6322021484375,466.91241455078125,139.97239685058594,523.59423828125,589.6671142578125,284.70001220703125
2025-06-06,203.68882751464844,213.57000732421875,173.31497192382812,210.71800231933594,696.703369140625,469.6080017089844,141.70216369628906,528.7125854492188,595.722412109375,295.1400146484375
2025-06-09,201.2216339111328,216.97999572753906,175.93264770507812,212.16986083984375,693.05859375,471.97412109375,142.612060546875,529.4908447265625,596.2593383789062,308.5799865722656
2025-06-10,202.44024658203125,217.61000061035156,178.44041442871094,213.3134307861328,701.3865966796875,470.1471252441406,143.94189453125,532.9928588867188,599.6399536132812,326.0899963378906
2025-06-11,198.55465698242188,213.1999969482422,177.1915283203125,212.4383544921875,693.1384887695312,471.8443298339844,142.8219451904297,531.1968994140625,597.9297485351562,326.42999267578125
2025-06-12,198.97418212890625,213.24000549316406,175.54299926757812,211.5930938720703,692.359619140625,478.0840759277344,144.9918212890625,532.4440307617188,600.3060913085938,319.1099853515625
2025-06-13,196.227294921875,212.10000610351562,174.513916015625,207.72479248046875,681.884765625,474.18048095703125,141.9619903564453,525.7593994140625,593.5946044921875,325.30999755859375
2025-06-16,198.195068359375,216.10000610351562,176.61204528808594,210.17384338378906,701.6464233398438,478.3536376953125,144.6818389892578,533.0726318359375,599.2421875,329.1300048828125
2025-06-17,195.418212890625,214.82000732421875,175.7927703857422,207.9601287841797,696.7597045898438,477.25543212890625,144.1118621826172,527.8745727539062,594.12158203125,316.3500061035156
2025-06-18,196.35714721679688,212.52000427246094,173.16513061523438,209.0570068359375,695.3007202148438,479.4518127441406,145.47178649902344,527.78466796875,594.0321044921875,322.04998779296875
2025-06-20,200.7721405029297,209.69000244140625,166.4910888671875,208.61825561523438,681.8897094726562,476.6164855957031,143.84188842773438,525.629638671875,592.636962890625,322.1600036621094
2025-06-23,201.27157592773438,208.47000122070312,165.04238891601562,211.1710205078125,698.0588989257812,485.2023620605469,144.161865234375,531.034423828125,598.49072265625,348.67999267578125
2025-06-24,200.07293701171875,212.77000427246094,166.62098693847656,213.86337280273438,711.7196655273438,489.30560302734375,147.8916473388672,539.1549682617188,605.1024169921875,340.4700012207031
2025-06-25,201.33151245117188,211.99000549316406,170.52748107910156,211.37045288085938,708.2020263671875,491.4620666503906,154.30130004882812,540.5333251953125,605.4414672851562,327.54998779296875
2025-06-26,200.7721405029297,217.1199951171875,173.38491821289062,214.80072021484375,725.6002807617188,496.6335754394531,155.01126098632812,545.5874633789062,610.1783447265625,325.7799987792969
2025-06-27,200.85205078125,223.3000030517578,178.37046813964844,214.87051391601562,733.1351928710938,495.1260681152344,157.74110412597656,547.4553833007812,613.2098999023438,323.6300048828125
2025-06-30,204.93740844726562,219.38999938964844,176.07252502441406,215.1796417236328,737.5922241210938,496.5936584472656,157.98109436035156,551.001220703125,616.1417846679688,317.6600036621094
2025-07-01,207.58441162109375,220.4600067138672,175.682861328125,217.3933563232422,718.73486328125,491.242431640625,153.29136657714844,546.3566284179688,615.9423828125,300.7099914550781
2025-07-02,212.1991729736328,219.9199981689453,178.48036193847656,220.40481567382812,713.0886840820312,490.2840270996094,157.2411346435547,550.1621704101562,618.734619140625,315.6499938964844
